ID,Role,Department,Lead,Type,Skill
CORP-074,Analytics Engineer 2,Data & Analytics,data-lead,Subagent,data-science
CORP-075,BI Report Builder 1,Data & Analytics,data-lead,Subagent,data-science
CORP-076,BI Report Builder 2,Data & Analytics,data-lead,Subagent,data-science
CORP-077,Web Scraper 1,Data & Analytics,data-lead,Subagent,research
CORP-078,Web Scraper 2,Data & Analytics,data-lead,Subagent,research
CORP-079,Data Quality 1,Data & Analytics,data-lead,Subagent,data-science
CORP-080,Data Quality 2,Data & Analytics,data-lead,Subagent,data-science
CORP-081,Contract Reviewer 1,Legal & Compliance,legal-lead,Subagent,domain
CORP-082,Contract Reviewer 2,Legal & Compliance,legal-lead,Subagent,domain
CORP-083,Compliance Monitor 1,Legal & Compliance,legal-lead,Subagent,compliance
CORP-084,Compliance Monitor 2,Legal & Compliance,legal-lead,Subagent,compliance
CORP-085,Privacy Officer 1,Legal & Compliance,legal-lead,Subagent,compliance
CORP-086,Privacy Officer 2,Legal & Compliance,legal-lead,Subagent,compliance
CORP-087,E-Rate Specialist 1,Legal & Compliance,legal-lead,Subagent,domain
CORP-088,E-Rate Specialist 2,Legal & Compliance,legal-lead,Subagent,domain
CORP-089,IP/Trademark,Legal & Compliance,legal-lead,Subagent,domain
CORP-090,Legal Ops,Legal & Compliance,legal-lead,Subagent,documentation
CORP-091,Creative Director 1,Hollywood Studio,studio-lead,Subagent,creative
CORP-092,Creative Director 2,Hollywood Studio,studio-lead,Subagent,creative
CORP-093,Cinematographer 1,Hollywood Studio,studio-lead,Subagent,media
CORP-094,Cinematographer 2,Hollywood Studio,studio-lead,Subagent,media
CORP-095,Voiceover Director 1,Hollywood Studio,studio-lead,Subagent,media
CORP-096,Voiceover Director 2,Hollywood Studio,studio-lead,Subagent,media
CORP-097,Music Producer 1,Hollywood Studio,studio-lead,Subagent,creative
CORP-098,Music Producer 2,Hollywood Studio,studio-lead,Subagent,creative
CORP-099,Post-Production 1,Hollywood Studio,studio-lead,Subagent,media
CORP-100,Post-Production 2,Hollywood Studio,studio-lead,Subagent,media
